[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_F_quark}
101 127 15 16 4 0 100 35.401 3.593
101 127 16 17 4 0 100 33.658 3.567
101 127 17 18 4 0 100 36.072 3.568
101 127 18 19 4 0 100 35.256 3.511
101 127 19 20 4 0 100 36.540 3.490
101 127 20 21 4 0 100 37.538 3.523
101 127 21 22 4 0 100 36.904 3.489
101 127 22 23 4 0 100 40.211 3.458
101 127 23 24 4 0 100 36.497 3.500
101 127 24 25 4 0 100 41.714 3.388
101 127 25 26 4 0 100 46.340 3.420
101 127 26 27 4 0 100 50.090 3.441
101 127 27 28 4 0 100 51.186 3.378
101 127 28 29 4 0 100 56.742 3.473
101 127 29 30 4 0 100 51.451 3.437
101 127 30 31 4 0 100 55.924 3.275
101 127 31 32 4 0 100 65.192 3.353
101 127 32 33 4 0 100 95.745 3.287
101 127 33 34 4 0 100 70.676 3.240
101 127 34 35 4 0 100 100.000 3.675
101 127 35 36 4 0 100 26.698 3.231
101 127 36 37 4 0 100 100.000 3.020
101 127 37 38 4 0 100 57.338 26.659
101 127 38 39 4 0 100 75.844 29.467
101 127 39 40 4 0 100 63.592 28.566
101 127 40 41 4 0 100 44.217 36.437
101 127 41 42 4 0 100 13.335 54.322
101 127 42 43 4 0 100 14.972 62.096
101 127 43 44 4 0 100 71.175 48.719
101 127 44 45 4 0 100 22.382 45.699
127 159 1 2 4 0 100 15.784 34.962
127 159 2 3 4 0 100 100.000 3.693
127 159 3 4 4 0 100 49.566 3.838
127 159 4 5 4 0 100 42.370 3.880
127 159 5 6 4 0 100 30.529 3.893
127 159 6 7 4 0 100 34.602 3.891
127 159 7 8 4 0 100 33.924 3.837
127 159 8 9 4 0 100 35.092 3.807
127 159 9 10 4 0 100 33.486 3.828
127 159 10 11 4 0 100 32.615 3.811
127 159 11 12 4 0 100 33.444 3.778
127 159 12 13 4 0 100 33.889 3.808
127 159 13 14 4 0 100 33.210 3.769
127 159 14 15 4 0 100 37.512 3.777
127 159 15 16 4 0 100 36.065 3.733
127 159 16 17 4 0 100 38.079 3.730
127 159 17 18 4 0 100 37.652 3.668
127 159 18 19 4 0 100 38.389 3.683
127 159 19 20 4 0 100 38.754 3.677
127 159 20 21 4 0 100 39.463 3.597
127 159 21 22 4 0 100 36.680 3.580
127 159 22 23 4 0 100 39.235 3.597
127 159 23 24 4 0 100 44.876 3.645
127 159 24 25 4 0 100 45.452 3.559
127 159 25 26 4 0 100 53.436 3.614
127 159 26 27 4 0 100 56.319 3.566
127 159 27 28 4 0 100 59.523 3.516
127 159 28 29 4 0 100 62.305 3.370
127 159 29 30 4 0 100 77.397 3.613
127 159 30 31 4 0 100 60.605 3.469
127 159 31 32 4 0 100 100.000 3.674
127 159 32 33 4 0 100 100.000 3.423
127 159 33 34 4 0 100 100.000 3.621
127 159 34 35 4 0 100 100.000 2.852
127 159 35 36 4 0 100 100.000 3.371
127 159 37 38 4 0 100 11.054 56.507
127 159 38 39 4 0 100 27.248 66.149
127 159 39 40 4 0 100 10.117 97.878
127 159 43 44 4 0 100 10.498 78.254
127 159 44 45 4 0 100 8.636 95.722
159 201 1 2 4 0 100 10.030 52.938
159 201 2 3 4 0 100 4.060 100.000
159 201 3 4 4 0 100 100.000 4.251
159 201 4 5 4 0 100 68.228 4.111
159 201 5 6 4 0 100 42.561 4.104
159 201 6 7 4 0 100 50.137 4.058
159 201 7 8 4 0 100 49.578 4.085
159 201 8 9 4 0 100 45.260 3.973
159 201 9 10 4 0 100 39.862 4.032
159 201 10 11 4 0 100 47.133 4.059
159 201 11 12 4 0 100 38.703 3.952
159 201 12 13 4 0 100 43.571 4.025
159 201 13 14 4 0 100 38.194 3.935
159 201 14 15 4 0 100 41.498 3.952
159 201 15 16 4 0 100 41.414 3.864
159 201 16 17 4 0 100 43.988 3.842
159 201 17 18 4 0 100 51.732 3.849
159 201 18 19 4 0 100 49.294 3.800
159 201 19 20 4 0 100 59.819 3.815
159 201 20 21 4 0 100 57.664 3.915
159 201 21 22 4 0 100 58.422 3.756
159 201 22 23 4 0 100 66.650 3.844
159 201 23 24 4 0 100 87.462 3.785
159 201 24 25 4 0 100 57.852 3.619
159 201 25 26 4 0 100 68.064 3.728
159 201 26 27 4 0 100 88.906 3.619
159 201 27 28 4 0 100 100.000 3.531
159 201 28 29 4 0 100 100.000 3.921
159 201 29 30 4 0 100 3.948 99.516
159 201 30 31 4 0 100 4.341 99.982
159 201 31 32 4 0 100 7.647 62.682
159 201 32 33 4 0 100 23.571 35.074
159 201 33 34 4 0 100 7.341 70.252
159 201 34 35 4 0 100 24.270 52.131
159 201 35 36 4 0 100 8.849 71.102
201 252 4 5 4 0 100 4.120 100.000
201 252 5 6 4 0 100 97.543 16.727
201 252 6 7 4 0 100 100.000 4.671
201 252 7 8 4 0 100 100.000 4.243
201 252 8 9 4 0 100 100.000 4.143
201 252 9 10 4 0 100 100.000 3.673
201 252 10 11 4 0 100 56.014 4.046
201 252 11 12 4 0 100 100.000 4.232
201 252 12 13 4 0 100 100.000 3.914
201 252 13 14 4 0 100 82.036 4.071
201 252 14 15 4 0 100 100.000 4.311
201 252 15 16 4 0 100 84.771 4.140
201 252 16 17 4 0 100 2.628 100.000
201 252 17 18 4 0 100 100.000 4.230
201 252 18 19 4 0 100 100.000 4.158
201 252 19 20 4 0 100 100.000 3.951
201 252 20 21 4 0 100 100.000 3.976
201 252 21 22 4 0 100 100.000 3.969
201 252 22 23 4 0 100 25.943 3.990
201 252 23 24 4 0 100 100.000 3.808
201 252 24 25 4 0 100 4.065 100.000
201 252 25 26 4 0 100 4.212 100.000
201 252 26 27 4 0 100 10.878 84.948
201 252 27 28 4 0 100 4.773 96.705
201 252 28 29 4 0 100 17.886 38.698
201 252 29 30 4 0 100 7.093 90.736
201 252 34 35 4 0 100 8.448 97.401
252 317 3 4 4 0 100 20.285 36.775
252 317 7 8 4 0 100 4.826 99.998
252 317 9 10 4 0 100 4.807 99.999
252 317 10 11 4 0 100 4.269 100.000
252 317 12 13 4 0 100 4.266 100.000
252 317 17 18 4 0 100 4.865 100.000
252 317 22 23 4 0 100 6.072 91.247
[gluon]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_F_gluon}
20 26 0 1 4 0 100 66.407 22.729
20 26 1 2 4 0 100 100.000 2.605
20 26 2 3 4 0 100 43.893 2.621
20 26 3 4 4 0 100 40.484 2.601
20 26 4 5 4 0 100 40.556 2.521
20 26 5 6 4 0 100 39.378 2.519
20 26 6 7 4 0 100 39.485 2.483
20 26 7 8 4 0 100 43.016 2.465
20 26 8 9 4 0 100 41.971 2.440
20 26 9 10 4 0 100 40.670 2.404
20 26 10 11 4 0 100 41.652 2.383
20 26 11 12 4 0 100 42.468 2.366
20 26 12 13 4 0 100 43.277 2.343
20 26 13 14 4 0 100 42.541 2.330
20 26 14 15 4 0 100 45.522 2.321
20 26 15 16 4 0 100 43.557 2.302
20 26 16 17 4 0 100 45.680 2.278
20 26 17 18 4 0 100 44.473 2.264
20 26 18 19 4 0 100 47.367 2.257
20 26 19 20 4 0 100 46.267 2.250
20 26 20 21 4 0 100 51.073 2.229
20 26 21 22 4 0 100 48.798 2.215
20 26 22 23 4 0 100 51.923 2.202
20 26 23 24 4 0 100 47.736 2.190
20 26 24 25 4 0 100 58.321 2.189
20 26 25 26 4 0 100 48.409 2.200
20 26 26 27 4 0 100 59.937 2.184
20 26 27 28 4 0 100 70.415 2.125
20 26 28 29 4 0 100 58.588 2.224
20 26 29 30 4 0 100 82.770 2.122
20 26 30 31 4 0 100 95.417 2.134
20 26 31 32 4 0 100 100.000 1.955
20 26 32 33 4 0 100 97.586 2.157
20 26 33 34 4 0 100 100.000 2.119
20 26 34 35 4 0 100 100.000 2.071
20 26 35 36 4 0 100 100.000 2.133
20 26 36 37 4 0 100 100.000 1.920
20 26 37 38 4 0 100 100.000 2.002
20 26 38 39 4 0 100 100.000 1.878
20 26 39 40 4 0 100 100.000 2.193
20 26 40 41 4 0 100 38.311 36.466
20 26 41 42 4 0 100 100.000 2.173
