[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_F_quark}
20 26 23 24 4 0 100 18.764 9.789
20 26 24 25 4 0 100 21.069 10.000
20 26 25 26 4 0 100 18.979 10.072
20 26 26 27 4 0 100 27.556 10.532
20 26 27 28 4 0 100 30.755 10.262
20 26 28 29 4 0 100 20.600 10.786
20 26 29 30 4 0 100 31.212 11.086
20 26 30 31 4 0 100 44.131 11.380
20 26 31 32 4 0 100 25.816 11.419
20 26 32 33 4 0 100 33.144 11.802
20 26 33 34 4 0 100 48.333 10.788
20 26 34 35 4 0 100 49.622 12.603
20 26 35 36 4 0 100 35.212 12.602
20 26 36 37 4 0 100 39.773 12.129
20 26 37 38 4 0 100 50.000 12.133
20 26 38 39 4 0 100 50.000 12.997
20 26 39 40 4 0 100 50.000 12.614
20 26 40 41 4 0 100 50.000 11.585
20 26 41 42 4 0 100 1.457 100.000
20 26 42 43 4 0 100 50.000 14.449
20 26 43 44 4 0 100 1.573 100.000
20 26 44 45 4 0 100 1.636 100.000
26 32 0 1 4 0 100 50.000 5.878
26 32 1 2 4 0 100 19.537 5.913
26 32 2 3 4 0 100 14.191 6.010
26 32 3 4 4 0 100 11.348 6.064
26 32 4 5 4 0 100 12.632 6.210
26 32 5 6 4 0 100 13.495 6.495
26 32 6 7 4 0 100 13.450 6.731
26 32 7 8 4 0 100 13.733 6.833
26 32 8 9 4 0 100 13.562 7.097
26 32 9 10 4 0 100 14.241 7.303
26 32 10 11 4 0 100 14.041 7.516
26 32 11 12 4 0 100 14.786 7.794
26 32 12 13 4 0 100 14.698 7.940
26 32 13 14 4 0 100 15.798 8.202
26 32 14 15 4 0 100 15.632 8.492
26 32 15 16 4 0 100 17.104 8.622
26 32 16 17 4 0 100 16.421 8.792
26 32 17 18 4 0 100 16.216 9.073
26 32 18 19 4 0 100 18.212 9.348
26 32 19 20 4 0 100 16.994 9.430
26 32 20 21 4 0 100 17.381 9.735
26 32 21 22 4 0 100 21.299 10.009
26 32 22 23 4 0 100 19.271 10.032
26 32 23 24 4 0 100 17.769 10.458
26 32 24 25 4 0 100 21.143 10.649
26 32 25 26 4 0 100 20.260 10.849
26 32 26 27 4 0 100 28.000 11.106
26 32 27 28 4 0 100 26.148 11.094
26 32 28 29 4 0 100 28.489 11.243
26 32 29 30 4 0 100 24.803 11.564
26 32 30 31 4 0 100 25.679 11.523
26 32 31 32 4 0 100 28.407 12.222
26 32 32 33 4 0 100 46.002 12.539
26 32 33 34 4 0 100 41.094 12.391
26 32 34 35 4 0 100 50.000 12.178
26 32 35 36 4 0 100 39.328 12.669
26 32 36 37 4 0 100 41.336 12.737
26 32 37 38 4 0 100 50.000 15.866
26 32 38 39 4 0 100 50.000 12.658
26 32 39 40 4 0 100 50.000 14.657
26 32 40 41 4 0 100 1.308 100.000
26 32 41 42 4 0 100 50.000 11.953
26 32 42 43 4 0 100 1.566 100.000
26 32 43 44 4 0 100 1.571 100.000
26 32 44 45 4 0 100 1.626 100.000
32 40 0 1 4 0 100 50.000 5.877
32 40 1 2 4 0 100 12.773 6.299
32 40 2 3 4 0 100 15.667 6.616
32 40 3 4 4 0 100 13.751 6.815
32 40 4 5 4 0 100 13.311 6.942
32 40 5 6 4 0 100 13.475 7.250
32 40 6 7 4 0 100 13.470 7.358
32 40 7 8 4 0 100 14.374 7.548
32 40 8 9 4 0 100 14.297 7.767
32 40 9 10 4 0 100 13.952 7.928
32 40 10 11 4 0 100 14.748 8.232
32 40 11 12 4 0 100 15.259 8.413
32 40 12 13 4 0 100 15.158 8.640
32 40 13 14 4 0 100 15.891 8.951
32 40 14 15 4 0 100 15.135 9.027
32 40 15 16 4 0 100 16.237 9.327
32 40 16 17 4 0 100 17.117 9.568
32 40 17 18 4 0 100 17.600 9.758
32 40 18 19 4 0 100 18.788 10.002
32 40 19 20 4 0 100 18.474 10.094
32 40 20 21 4 0 100 19.195 10.408
32 40 21 22 4 0 100 19.134 10.566
32 40 22 23 4 0 100 19.892 10.737
32 40 23 24 4 0 100 21.393 11.025
32 40 24 25 4 0 100 21.655 11.258
32 40 25 26 4 0 100 20.304 11.476
32 40 26 27 4 0 100 23.395 11.435
32 40 27 28 4 0 100 27.238 11.848
32 40 28 29 4 0 100 35.764 11.875
32 40 29 30 4 0 100 25.612 12.085
32 40 30 31 4 0 100 30.212 12.427
32 40 31 32 4 0 100 33.455 12.525
32 40 32 33 4 0 100 32.082 12.553
32 40 33 34 4 0 100 44.763 12.475
32 40 34 35 4 0 100 39.326 13.423
32 40 35 36 4 0 100 46.249 13.438
32 40 36 37 4 0 100 50.000 12.766
32 40 37 38 4 0 100 50.000 13.017
32 40 38 39 4 0 100 50.000 11.500
32 40 39 40 4 0 100 50.000 16.305
32 40 40 41 4 0 100 50.000 13.413
32 40 41 42 4 0 100 50.000 14.878
32 40 42 43 4 0 100 1.464 100.000
32 40 43 44 4 0 100 1.536 100.000
32 40 44 45 4 0 100 1.406 100.000
40 51 0 1 4 0 100 1.587 100.000
40 51 1 2 4 0 100 17.283 6.811
40 51 2 3 4 0 100 16.927 7.059
40 51 3 4 4 0 100 14.314 7.156
40 51 4 5 4 0 100 14.184 7.415
40 51 5 6 4 0 100 13.860 7.906
40 51 6 7 4 0 100 13.805 8.043
